Dependency Taxonomy,Configuration Parameter A,Configuration Parameter B,Class,Function
Value Relationship Dependency,mapreduce.map.cpu.vcores,yarn.scheduler.maximum-allocation-vcores,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.server.resourcemanager.ResourceTrackerService: org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerResponse registerNodeManager(org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerRequest)>
Value Relationship Dependency,mapreduce.reduce.cpu.vcores,yarn.scheduler.minimum-allocation-vcores,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.server.resourcemanager.ResourceTrackerService: org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerResponse registerNodeManager(org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerRequest)>
Value Relationship Dependency,mapreduce.map.cpu.vcores,yarn.scheduler.maximum-allocation-vcores,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.server.resourcemanager.ResourceTrackerService: org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerResponse registerNodeManager(org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerRequest)>
Value Relationship Dependency,mapreduce.reduce.memory.mb,yarn.scheduler.minimum-allocation-mb,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.server.resourcemanager.ResourceTrackerService: org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerResponse registerNodeManager(org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerRequest)>
Value Relationship Dependency,mapreduce.map.memory.mb,yarn.scheduler.minimum-allocation-mb,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.server.resourcemanager.ResourceTrackerService: org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerResponse registerNodeManager(org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerRequest)>
Value Relationship Dependency,mapreduce.reduce.memory.mb,yarn.scheduler.maximum-allocation-mb,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.server.resourcemanager.ResourceTrackerService: org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerResponse registerNodeManager(org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerRequest)>
Value Relationship Dependency,mapreduce.map.memory.mb,yarn.scheduler.maximum-allocation-mb,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.server.resourcemanager.ResourceTrackerService: org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerResponse registerNodeManager(org.apache.hadoop.yarn.server.api.protocolrecords.RegisterNodeManagerRequest)>
Value Relationship Dependency,alluxio.integration.master.resource.cpu,yarn.scheduler.minimum-allocation-vcores,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.api.ApplicationMasterProtocol: org.apache.hadoop.yarn.api.protocolrecords.AllocateResponse allocate(org.apache.hadoop.yarn.api.protocolrecords.AllocateRequest)>
Value Relationship Dependency,alluxio.integration.worker.resource.cpu,yarn.scheduler.minimum-allocation-vcores,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.api.ApplicationMasterProtocol: org.apache.hadoop.yarn.api.protocolrecords.AllocateResponse allocate(org.apache.hadoop.yarn.api.protocolrecords.AllocateRequest)>
Value Relationship Dependency,alluxio.integration.master.resource.mem,yarn.scheduler.minimum-allocation-mb,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.api.ApplicationMasterProtocol: org.apache.hadoop.yarn.api.protocolrecords.AllocateResponse allocate(org.apache.hadoop.yarn.api.protocolrecords.AllocateRequest)>
Value Relationship Dependency,alluxio.integration.worker.resource.mem,yarn.scheduler.minimum-allocation-mb,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.api.ApplicationMasterProtocol: org.apache.hadoop.yarn.api.protocolrecords.AllocateResponse allocate(org.apache.hadoop.yarn.api.protocolrecords.AllocateRequest)>
Value Relationship Dependency,alluxio.integration.master.resource.cpu,yarn.scheduler.maximum-allocation-vcores,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.api.ApplicationMasterProtocol: org.apache.hadoop.yarn.api.protocolrecords.AllocateResponse allocate(org.apache.hadoop.yarn.api.protocolrecords.AllocateRequest)>
Value Relationship Dependency,alluxio.integration.worker.resource.cpu,yarn.scheduler.maximum-allocation-vcores,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.api.ApplicationMasterProtocol: org.apache.hadoop.yarn.api.protocolrecords.AllocateResponse allocate(org.apache.hadoop.yarn.api.protocolrecords.AllocateRequest)>
Value Relationship Dependency,alluxio.integration.master.resource.mem,yarn.scheduler.maximum-allocation-mb,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.api.ApplicationMasterProtocol: org.apache.hadoop.yarn.api.protocolrecords.AllocateResponse allocate(org.apache.hadoop.yarn.api.protocolrecords.AllocateRequest)>
Value Relationship Dependency,alluxio.integration.worker.resource.mem,yarn.scheduler.maximum-allocation-mb,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,<org.apache.hadoop.yarn.api.ApplicationMasterProtocol: org.apache.hadoop.yarn.api.protocolrecords.AllocateResponse allocate(org.apache.hadoop.yarn.api.protocolrecords.AllocateRequest)>
Overwrite,maxSessionTimeout,zookeeper.session.timeout,org.apache.hadoop.hbase.zookeeper.HQuorumPeer,<org.apache.hadoop.hbase.zookeeper.HQuorumPeer: void writeMyID(java.util.Properties)>
Overwrite,dfs.data.transfer.protection,hadoop.rpc.protection,org.apache.hadoop.hdfs.protocol.datatransfer.sasl.DataTransferSaslUtil,<org.apache.hadoop.hdfs.protocol.datatransfer.sasl.DataTransferSaslUtil: org.apache.hadoop.security.SaslPropertiesResolver getSaslPropertiesResolver(org.apache.hadoop.conf.Configuration)>
Overwrite,dfs.metrics.percentiles.intervals,hadoop.user.group.metrics.percentiles.intervals,org.apache.hadoop.hdfs.server.namenode.NameNode,<org.apache.hadoop.hdfs.server.namenode.NameNode: void initialize(org.apache.hadoop.conf.Configuration)>
Overwrite,hadoop.security.service.user.name.key,yarn.resourcemanager.principal,org.apache.hadoop.yarn.util.RMHAUtils,<org.apache.hadoop.yarn.util.RMHAUtils: org.apache.hadoop.ha.HAServiceProtocol$HAServiceState getHAState(org.apache.hadoop.yarn.conf.YarnConfiguration)>
Overwrite,dfs.namenode.kerberos.principal,hadoop.security.service.user.name.key,org.apache.hadoop.hdfs.tools.DFSHAAdmin,<org.apache.hadoop.hdfs.tools.DFSHAAdmin: org.apache.hadoop.conf.Configuration addSecurityConfiguration(org.apache.hadoop.conf.Configuration)>
Overwrite,ha.failover-controller.graceful-fence.connection.retries,ipc.client.connect.max.retries,org.apache.hadoop.ha.FailoverController,"<org.apache.hadoop.ha.FailoverController: void <init>(org.apache.hadoop.conf.Configuration,org.apache.hadoop.ha.HAServiceProtocol$RequestSource)>"
Overwrite,ha.failover-controller.graceful-fence.connection.retries,ipc.client.connect.max.retries.on.timeouts,org.apache.hadoop.ha.FailoverController,"<org.apache.hadoop.ha.FailoverController: void <init>(org.apache.hadoop.conf.Configuration,org.apache.hadoop.ha.HAServiceProtocol$RequestSource)>"
Overwrite,hadoop.security.service.user.name.key,mapreduce.jobhistory.principal,org.apache.hadoop.mapreduce.v2.hs.client.HSAdmin,<org.apache.hadoop.mapreduce.v2.hs.client.HSAdmin: org.apache.hadoop.conf.Configuration addSecurityConfiguration(org.apache.hadoop.conf.Configuration)>
Overwrite,ipc.client.connect.max.retries,yarn.app.mapreduce.client-am.ipc.max-retries,org.apache.hadoop.mapred.ClientServiceDelegate,"<org.apache.hadoop.mapred.ClientServiceDelegate: void <init>(org.apache.hadoop.conf.Configuration,org.apache.hadoop.mapred.ResourceMgrDelegate,org.apache.hadoop.mapreduce.JobID,org.apache.hadoop.mapreduce.v2.api.MRClientProtocol)>"
Overwrite,ipc.client.connect.max.retries.on.timeouts,yarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts,org.apache.hadoop.mapred.ClientServiceDelegate,"<org.apache.hadoop.mapred.ClientServiceDelegate: void <init>(org.apache.hadoop.conf.Configuration,org.apache.hadoop.mapred.ResourceMgrDelegate,org.apache.hadoop.mapreduce.JobID,org.apache.hadoop.mapreduce.v2.api.MRClientProtocol)>"
Overwrite,ipc.client.connect.max.retries,yarn.client.failover-retries,org.apache.hadoop.yarn.client.ConfiguredRMFailoverProxyProvider,"<org.apache.hadoop.yarn.client.ConfiguredRMFailoverProxyProvider: void init(org.apache.hadoop.conf.Configuration,org.apache.hadoop.yarn.client.RMProxy,java.lang.Class)>"
Overwrite,ipc.client.connect.max.retries.on.timeouts,yarn.client.failover-retries-on-socket-timeouts,org.apache.hadoop.yarn.client.ConfiguredRMFailoverProxyProvider,"<org.apache.hadoop.yarn.client.ConfiguredRMFailoverProxyProvider: void init(org.apache.hadoop.conf.Configuration,org.apache.hadoop.yarn.client.RMProxy,java.lang.Class)>"
Overwrite,dfs.client.retry.policy.spec,yarn.node-labels.fs-store.retry-policy-spec,org.apache.hadoop.yarn.nodelabels.FileSystemNodeLabelsStore,<org.apache.hadoop.yarn.nodelabels.FileSystemNodeLabelsStore: void setFileSystem(org.apache.hadoop.conf.Configuration)>
Overwrite,dfs.client.retry.policy.spec,yarn.resourcemanager.fs.state-store.retry-policy-spec,org.apache.hadoop.yarn.server.resourcemanager.recovery.FileSystemRMStateStore,<org.apache.hadoop.yarn.server.resourcemanager.recovery.FileSystemRMStateStore: void startInternal()>
Overwrite,ipc.client.connect.max.retries.on.timeouts,yarn.resourcemanager.nodemanager-connect-retries,org.apache.hadoop.yarn.server.resourcemanager.amlauncher.ApplicationMasterLauncher,<org.apache.hadoop.yarn.server.resourcemanager.amlauncher.ApplicationMasterLauncher: void serviceInit(org.apache.hadoop.conf.Configuration)>
Overwrite,dfs.datanode.kerberos.principal,hadoop.security.service.user.name.key,org.apache.hadoop.hdfs.tools.DFSAdmin,<org.apache.hadoop.hdfs.tools.DFSAdmin: org.apache.hadoop.hdfs.protocol.ClientDatanodeProtocol getDataNodeProxy(java.lang.String)>
Default Value Dependency,dfs.client.read.shortcircuit.buffer.size,hbase.dfs.client.read.shortcircuit.buffer.size,org.apache.hadoop.hbase.util.CommonFSUtils,<org.apache.hadoop.hbase.util.CommonFSUtils: void checkShortCircuitReadBufferSize(org.apache.hadoop.conf.Configuration)>
Default Value Dependency,mapreduce.reduce.shuffle.fetch.retry.enabled,yarn.nodemanager.recovery.enabled,org.apache.hadoop.mapreduce.task.reduce.Fetcher,"<org.apache.hadoop.mapreduce.task.reduce.Fetcher: void <init>(org.apache.hadoop.mapred.JobConf,org.apache.hadoop.mapreduce.TaskAttemptID,org.apache.hadoop.mapreduce.task.reduce.ShuffleSchedulerImpl,org.apache.hadoop.mapreduce.task.reduce.MergeManager,org.apache.hadoop.mapred.Reporter,org.apache.hadoop.mapreduce.task.reduce.ShuffleClientMetrics,org.apache.hadoop.mapreduce.task.reduce.ExceptionReporter,javax.crypto.SecretKey,int)>"
Default Value Dependency,dfs.data.transfer.saslproperties.resolver.class,hadoop.security.saslproperties.resolver.class,org.apache.hadoop.hdfs.protocol.datatransfer.sasl.DataTransferSaslUtil,<org.apache.hadoop.hdfs.protocol.datatransfer.sasl.DataTransferSaslUtil: org.apache.hadoop.security.SaslPropertiesResolver getSaslPropertiesResolver(org.apache.hadoop.conf.Configuration)>
Default Value Dependency,dfs.namenode.rpc-address,fs.defaultFS,org.apache.hadoop.hdfs.DFSUtil,<org.apache.hadoop.hdfs.DFSUtil: java.util.Map getNNServiceRpcAddresses(org.apache.hadoop.conf.Configuration)>
Default Value Dependency,hadoop.tmp.dir,yarn.resourcemanager.leveldb-state-store.path,*,*
Default Value Dependency,hadoop.tmp.dir,yarn.nodemanager.recovery.dir,*,*
Default Value Dependency,hadoop.tmp.dir,yarn.nodemanager.local-dirs,*,*
Default Value Dependency,hadoop.tmp.dir,yarn.resourcemanager.fs.state-store.uri,*,*
Default Value Dependency,hadoop.tmp.dir,yarn.timeline-service.leveldb-timeline-store.path,*,*
Default Value Dependency,hadoop.tmp.dir,yarn.timeline-service.leveldb-state-store.path,*,*
Default Value Dependency,hadoop.tmp.dir,yarn.scheduler.configuration.leveldb-store.path,*,*
Default Value Dependency,fs.s3.buffer.dir,hadoop.tmp.dir,*,*
Default Value Dependency,hadoop.tmp.dir,io.seqfile.local.dir,*,*
Default Value Dependency,fs.s3a.buffer.dir,hadoop.tmp.dir,*,*
Default Value Dependency,dfs.datanode.data.dir,hadoop.tmp.dir,*,*
Default Value Dependency,dfs.namenode.checkpoint.dir,hadoop.tmp.dir,*,*
Default Value Dependency,dfs.namenode.name.dir,hadoop.tmp.dir,*,*
Default Value Dependency,hadoop.tmp.dir,mapreduce.jobtracker.system.dir,*,*
Default Value Dependency,hadoop.tmp.dir,mapreduce.jobhistory.recovery.store.fs.uri,*,*
Default Value Dependency,hadoop.tmp.dir,mapreduce.cluster.local.dir,*,*
Default Value Dependency,hadoop.tmp.dir,mapreduce.cluster.temp.dir,*,*
Default Value Dependency,hadoop.tmp.dir,mapreduce.jobtracker.staging.root.dir,*,*
Default Value Dependency,hadoop.tmp.dir,mapreduce.jobhistory.recovery.store.leveldb.path,*,*
Default Value Dependency,fs.defaultFS,mapreduce.job.hdfs-servers,*,*
Default Value Dependency,mapreduce.jobhistory.intermediate-done-dir,yarn.app.mapreduce.am.staging-dir,*,*
Default Value Dependency,fs.local.block.size,mapreduce.job.ubertask.maxbytes,*,*
Behavior Dependency,hadoop.security.authentication,hbase.security.authentication,org.apache.hadoop.hbase.AuthUtil,<org.apache.hadoop.hbase.AuthUtil: org.apache.hadoop.hbase.ScheduledChore getAuthChore(org.apache.hadoop.conf.Configuration)>
Behavior Dependency,dfs.internal.nameservices,fs.defaultFS,org.apache.hadoop.hbase.util.FSHDFSUtils,"<org.apache.hadoop.hbase.util.FSHDFSUtils: boolean isSameHdfs(org.apache.hadoop.conf.Configuration,org.apache.hadoop.fs.FileSystem,org.apache.hadoop.fs.FileSystem)>"
Behavior Dependency,fs.defaultFS,hadoop.shell.missing.defaultFs.warning,org.apache.hadoop.fs.shell.FsCommand,<org.apache.hadoop.fs.shell.FsCommand: void processRawArguments(java.util.LinkedList)>
Behavior Dependency,hadoop.http.filter.initializers,yarn.timeline-service.http-cross-origin.enabled,org.apache.hadoop.yarn.server.applicationhistoryservice.ApplicationHistoryServer,<org.apache.hadoop.yarn.server.applicationhistoryservice.ApplicationHistoryServer: void startWebApp()>
Behavior Dependency,hadoop.http.filter.initializers,yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled,org.apache.hadoop.yarn.server.resourcemanager.webapp.RMWebAppUtil,"<org.apache.hadoop.yarn.server.resourcemanager.webapp.RMWebAppUtil: void setupSecurityAndFilters(org.apache.hadoop.conf.Configuration,org.apache.hadoop.yarn.server.resourcemanager.security.RMDelegationTokenSecretManager)>"
Behavior Dependency,hadoop.http.filter.initializers,yarn.resourcemanager.webapp.cross-origin.enabled,org.apache.hadoop.yarn.server.resourcemanager.webapp.RMWebAppUtil,"<org.apache.hadoop.yarn.server.resourcemanager.webapp.RMWebAppUtil: void setupSecurityAndFilters(org.apache.hadoop.conf.Configuration,org.apache.hadoop.yarn.server.resourcemanager.security.RMDelegationTokenSecretManager)>"
Behavior Dependency,hadoop.http.authentication.type,yarn.resourcemanager.webapp.ui-actions.enabled,org.apache.hadoop.yarn.server.webapp.AppBlock,<org.apache.hadoop.yarn.server.webapp.AppBlock: void render(org.apache.hadoop.yarn.webapp.view.HtmlBlock$Block)>
Behavior Dependency,hadoop.security.authentication,yarn.timeline-service.enabled,org.apache.hadoop.yarn.client.api.impl.TimelineClientImpl,"<org.apache.hadoop.yarn.client.api.impl.TimelineClientImpl: void putTimelineDataInJSONFile(java.lang.String,java.lang.String)>"
Behavior Dependency,hadoop.security.authentication,yarn.log-aggregation-enable,org.apache.hadoop.yarn.server.nodemanager.NodeStatusUpdaterImpl,<org.apache.hadoop.yarn.server.nodemanager.NodeStatusUpdaterImpl: boolean isTokenKeepAliveEnabled(org.apache.hadoop.conf.Configuration)>
Behavior Dependency,hadoop.security.authentication,yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled,org.apache.hadoop.yarn.server.resourcemanager.webapp.RMWebAppUtil,"<org.apache.hadoop.yarn.server.resourcemanager.webapp.RMWebAppUtil: void setupSecurityAndFilters(org.apache.hadoop.conf.Configuration,org.apache.hadoop.yarn.server.resourcemanager.security.RMDelegationTokenSecretManager)>"
Behavior Dependency,hadoop.security.authentication,yarn.resourcemanager.webapp.cross-origin.enabled,org.apache.hadoop.yarn.server.resourcemanager.webapp.RMWebAppUtil,"<org.apache.hadoop.yarn.server.resourcemanager.webapp.RMWebAppUtil: void setupSecurityAndFilters(org.apache.hadoop.conf.Configuration,org.apache.hadoop.yarn.server.resourcemanager.security.RMDelegationTokenSecretManager)>"
Behavior Dependency,hadoop.security.authentication,yarn.resourcemanager.webapp.ui-actions.enabled,org.apache.hadoop.yarn.server.webapp.AppBlock,<org.apache.hadoop.yarn.server.webapp.AppBlock: void render(org.apache.hadoop.yarn.webapp.view.HtmlBlock$Block)>
Behavior Dependency,dfs.metrics.percentiles.intervals,hadoop.user.group.metrics.percentiles.intervals,org.apache.hadoop.hdfs.server.namenode.NameNode,<org.apache.hadoop.hdfs.server.namenode.NameNode: void initialize(org.apache.hadoop.conf.Configuration)>
Behavior Dependency,dfs.permissions.enabled,hadoop.security.groups.cache.secs,org.apache.hadoop.hdfs.server.namenode.FSDirXAttrOp,"<org.apache.hadoop.hdfs.server.namenode.FSDirXAttrOp: void checkXAttrChangeAccess(org.apache.hadoop.hdfs.server.namenode.FSDirectory,org.apache.hadoop.hdfs.server.namenode.INodesInPath,org.apache.hadoop.fs.XAttr,org.apache.hadoop.hdfs.server.namenode.FSPermissionChecker)>"
Behavior Dependency,dfs.namenode.kerberos.principal,fs.defaultFS,org.apache.hadoop.security.SecurityUtil,"<org.apache.hadoop.security.SecurityUtil: java.lang.String replacePattern(java.lang.String[],java.lang.String)>"