Dependency Taxonomy,Dependency,Checking Time,Violation handling,Impact of violations,Feedback,Configuration Parameter A,ComponentA,"Configuration Parameter B( ,C and more)",ComponentB,Related description
Control Dependency,"If A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.refresh.url,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,mapreduce.shuffle.transferTo.allowed,mapred-default.xml,mapreduce.shuffle.transfer.buffer.size,mapred-default.xml,mapreduce.shuffle.transfer.buffer.size: This property is used only if mapreduce.shuffle.transferTo.allowed is set to false.
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,rpc.metrics.percentiles.intervals,core-default.xml,rpc.metrics.quantile.enable,core-default.xml,rpc.metrics.quantile.enable: Setting this property to true and rpc.metrics.percentiles.intervals to a comma-separated list of the granularity in seconds
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.msi.port,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url. The RefreshToken type requires property fs.adl.oauth2.client.id and fs.adl.oauth2.refresh.token. The MSI type reads optional property fs.adl.oauth2.msi.port, if specified. The DeviceCode type requires property fs.adl.oauth2.devicecode.clientapp.id. The Custom type requires property fs.adl.oauth2.access.token.provider."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.client.id,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url. The RefreshToken type requires property fs.adl.oauth2.client.id and fs.adl.oauth2.refresh.token. The MSI type reads optional property fs.adl.oauth2.msi.port, if specified. The DeviceCode type requires property fs.adl.oauth2.devicecode.clientapp.id. The Custom type requires property fs.adl.oauth2.access.token.provider."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.credential,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url. The RefreshToken type requires property fs.adl.oauth2.client.id and fs.adl.oauth2.refresh.token. The MSI type reads optional property fs.adl.oauth2.msi.port, if specified. The DeviceCode type requires property fs.adl.oauth2.devicecode.clientapp.id. The Custom type requires property fs.adl.oauth2.access.token.provider."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.access.token.provider,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url. The RefreshToken type requires property fs.adl.oauth2.client.id and fs.adl.oauth2.refresh.token. The MSI type reads optional property fs.adl.oauth2.msi.port, if specified. The DeviceCode type requires property fs.adl.oauth2.devicecode.clientapp.id. The Custom type requires property fs.adl.oauth2.access.token.provider."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.devicecode.clientapp.id,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url. The RefreshToken type requires property fs.adl.oauth2.client.id and fs.adl.oauth2.refresh.token. The MSI type reads optional property fs.adl.oauth2.msi.port, if specified. The DeviceCode type requires property fs.adl.oauth2.devicecode.clientapp.id. The Custom type requires property fs.adl.oauth2.access.token.provider."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.refresh.token,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url. The RefreshToken type requires property fs.adl.oauth2.client.id and fs.adl.oauth2.refresh.token. The MSI type reads optional property fs.adl.oauth2.msi.port, if specified. The DeviceCode type requires property fs.adl.oauth2.devicecode.clientapp.id. The Custom type requires property fs.adl.oauth2.access.token.provider."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,spark.dynamicAllocation.enabled,spark.xml,spark.dynamicAllocation.minExecutors,spark.xml,"spark.dynamicAllocation.enabled: Whether to use dynamic resource allocation, which scales the number of executors registered with this application up and down based on the workload."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,spark.executor.logs.rolling.strategy,spark.xml,spark.executor.logs.rolling.maxSize,spark.xml,spark.executor.logs.rolling.strategy: Set the strategy of rolling of executor logs.
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,spark.executor.logs.rolling.strategy,spark.xml,spark.executor.logs.rolling.time.interval,spark.xml,spark.executor.logs.rolling.strategy: Set the strategy of rolling of executor logs.
Control Dependency,"if A is SomeValue, B will work, class based control",no check,N/A,Usability,None,fs.client.resolve.topology.enabled,core-default.xml,net.topology.node.switch.mapping.impl,core-default.xml,fs.client.resolve.topology.enabled: Whether the client machine will use the class specified by property net.topology.node.switch.mapping.impl to compute the network distance between itself and remote machines of the FileSystem.
control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,spark.memory.useLegacyMode,spark.xml,spark.storage.unrollFraction,spark.xml,"spark.memory.useLegacyMode: Whether to enable the legacy memory management mode used in Spark 1.5 and before. The following deprecated memory fraction configurations are not read unless this is enabled: spark.shuffle.memoryFraction, spark.storage.memoryFraction, spark.storage.unrollFraction."
control Dependency,"if A is SomeValue, B will work, class based control",no check,N/A,Usability,None,net.topology.node.switch.mapping.impl,core-default.xml,net.topology.table.file.name,core-default.xml,"Whether the client machine will use the class specified by property net.topology.node.switch.mapping.impl to compute the network distance between itself and remote machines of the FileSystem. If org.apache.hadoop.net.ScriptBasedMapping is used, a valid script file needs to be specified in net.topology.script.file.name. "
control Dependency,"if A is SomeValue, B will work, class based control",no check,N/A,Usability,None,dfs.datanode.fsdataset.volume.choosing.policy,hdfs-default.xml,dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold,hdfs-default.xml,Only used when the dfs.datanode.fsdataset.volume.choosing.policy is set to org.apache.hadoop.hdfs.server.datanode.fsdataset.
control Dependency,"if A is SomeValue, B will work, class based control",no check,N/A,Usability,None,dfs.block.replicator.classname,hdfs-default.xml,dfs.namenode.available-space-block-placement-policy.balanced-space-preference-fraction,hdfs-default.xml,Only used when the dfs.block.replicator.classname is set to org.apache.hadoop.hdfs.server.blockmanagement.AvailableSpaceBlockPlacementPolicy.
control Dependency,"if A is SomeValue, B will work, class based control",no check,N/A,Usability,None,dfs.datanode.fsdataset.volume.choosing.policy,hdfs-default.xml,dfs.datanode.available-space-volume-choosing-policy.balanced-space-preference-fraction,hdfs-default.xml,Only used when the dfs.datanode.fsdataset.volume.choosing.policy is set to org.apache.hadoop.hdfs.server.datanode.fsdataset.AvailableSpaceVolumeChoosingPolicy.
control Dependency,"if A is SomeValue, B will work, class based control",no check,N/A,Usability,None,yarn.resourcemanager.configuration.provider-class,yarn-default.xml,yarn.resourcemanager.configuration.file-system-based-store,yarn-default.xml,The value specifies the file system (e.g. HDFS) path where ResourceManager loads configuration if yarn.resourcemanager.configuration.provider-class is set to org.apache.hadoop.yarn.FileSystemBasedConfigurationProvider.
control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,yarn.nodemanager.node-labels.provider,yarn-default.xml,yarn.nodemanager.node-labels.provider.fetch-interval-ms,yarn-default.xml,"When ""yarn.nodemanager.node-labels.provider"" is configured with ""config"", ""Script"" or the configured class extends AbstractNodeLabelsProvider, then periodically node labels are retrieved from the node labels provider. "
control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,yarn.scheduler.configuration.store.class,yarn-default.xml,yarn.scheduler.configuration.store.max-logs,yarn-default.xml,"The max number of configuration change log entries kept in config store, when yarn.scheduler.configuration.store.class is configured to be ""leveldb"" or ""zk""."
control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,yarn.scheduler.configuration.store.class,yarn-default.xml,yarn.scheduler.configuration.leveldb-store.path,yarn-default.xml," The storage path for LevelDB implementation of configuration store, when yarn.scheduler.configuration.store.class is configured to be ""leveldb"". "
control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,yarn.resourcemanager.scheduler.monitor.enable,yarn-default.xml,yarn.resourcemanager.scheduler.monitor.policies,yarn-default.xml,Enable a set of periodic monitors (specified in yarn.resourcemanager.scheduler.monitor.policies) that affect the scheduler.
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,dfs.namenode.lifeline.rpc-address,hdfs-default.xml,dfs.namenode.lifeline.handler.count,hdfs-default.xml,dfs.namenode.lifeline.handler.count: This property has no effect if dfs.namenode.lifeline.rpc-address is not defined.
control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,yarn.nodemanager.resource.cpu-vcores,yarn-default.xml,yarn.nodemanager.resource.pcores-vcores-multiplier,yarn-default.xml,This value is used if yarn.nodemanager.resource.cpu-vcores is set to -1(which implies auto-calculate vcores) and yarn.nodemanager.resource.detect-hardware-capabilities is set to true.
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,yarn.nodemanager.node-labels.provider,yarn-default.xml,yarn.nodemanager.node-labels.provider.fetch-timeout-ms,yarn-default.xml,"When ""yarn.nodemanager.node-labels.provider"" is configured with ""Script"" then this configuration provides the timeout period after which it will interrupt the script which queries the Node labels."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,yarn.nodemanager.resource.memory-mb,yarn-default.xml,yarn.nodemanager.resource.system-reserved-memory-mb,yarn-default.xml,This configuration is only used if yarn.nodemanager.resource.detect-hardware-capabilities is set to true and yarn.nodemanager.resource.memory-mb is -1.
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,yarn.nodemanager.node-labels.provider,yarn-default.xml,yarn.nodemanager.node-labels.provider.configured-node-partition,yarn-default.xml,"When ""yarn.nodemanager.node-labels.provider"" is configured with ""config"" then ConfigurationNodeLabelsProvider fetches the partition label from this parameter."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,hadoop.security.group.mapping.ldap.ssl.keystore.password,core-default.xml,hadoop.security.group.mapping.ldap.ssl.keystore.password.file,core-default.xml,"If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.ssl.keystore.password is not set, LDAPGroupsMapping reads password from the file."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,spark.deploy.recoveryMode,spark.xml,spark.deploy.zookeeper.url,spark.xml,"spark.deploy.zookeeper.url: When `spark.deploy.recoveryMode` is set to ZOOKEEPER, this configuration is used to set the zookeeper URL to connect to."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,hbase.offpeak.start.hour,hbase-default.xml,hbase.hstore.compaction.ratio.offpeak,hbase-default.xml,Only applies if hbase.offpeak.start.hour and hbase.offpeak.end.hour are also enabled.
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,hbase.offpeak.end.hour,hbase-default.xml,hbase.hstore.compaction.ratio.offpeak,hbase-default.xml,Only applies if hbase.offpeak.start.hour and hbase.offpeak.end.hour are also enabled.
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,yarn.scheduler.configuration.store.class,yarn-default.xml,yarn.scheduler.configuration.leveldb-store.compaction-interval-secs,yarn-default.xml,"The compaction interval for LevelDB configuration store in secs, when yarn.scheduler.configuration.store.class is configured to be ""leveldb"""
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,dfs.namenode.lifeline.rpc-address,hdfs-default.xml,dfs.namenode.lifeline.handler.ratio,hdfs-default.xml,"If this property is defined, then it overrides the behavior of dfs.namenode.lifeline.handler.ratio."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,mapreduce.jobhistory.loadedtasks.cache.size,mapred-default.xml,mapreduce.jobhistory.loadedjobs.cache.size,mapred-default.xml,If this value is empty or nonpositive then the cache reverts to using the property mapreduce.jobhistory.loadedjobs.cache.size as a job cache size.
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,hbase.master.infoserver.redirect,hbase-default.xml,hbase.master.info.port,hbase-default.xml,hbase.master.infoserver.redirect: Whether or not the Master listens to the Master web UI port (hbase.master.info.port)
Control Dependency,"If A is SomeValue, B will work",no check,N/A,Usability,None,fs.s3a.multipart.purge,core-default.xml,fs.s3a.multipart.purge.age,core-default.xml,fs.s3a.multipart.purge: True if you want to purge existing multipart uploads that may not have been completed/aborted correctly. The corresponding purge age is defined in fs.s3a.multipart.purge.age.
Control dependency,"If A is not true, B will work",Init Time,Logging only,Usability,Complete,dfs.client.read.shortcircuit,hdfs-default.xml,dfs.client.domain.socket.data.traffic,hdfs-default.xml,dfs.client.read.shortcircuit: This configuration parameter turns on short-circuit local reads.
Control dependency,"If A is not true, B will work",no check,N/A,Usability,None,dfs.client.read.shortcircuit,hdfs-default.xml,dfs.client.read.shortcircuit.skip.checksum,hdfs-default.xml,dfs.client.read.shortcircuit: This configuration parameter turns on short-circuit local reads.
Control dependency,"If A is not true, B will work",no check,N/A,Usability,None,dfs.client.read.shortcircuit,hdfs-default.xml,dfs.client.read.shortcircuit.buffer.size,hdfs-default.xml,dfs.client.read.shortcircuit: This configuration parameter turns on short-circuit local reads.
Control dependency,"If A is not true, B will work",no check,N/A,Usability,None,dfs.client.read.shortcircuit,hdfs-default.xml,dfs.client.read.shortcircuit.streams.cache.size,hdfs-default.xml,dfs.client.read.shortcircuit: This configuration parameter turns on short-circuit local reads.
Control dependency,"If A is not true, B will work",no check,N/A,Usability,None,dfs.client.read.shortcircuit,hdfs-default.xml,dfs.client.read.shortcircuit.streams.cache.expiry.ms,hdfs-default.xml,dfs.client.read.shortcircuit: This configuration parameter turns on short-circuit local reads.
Control dependency,"If A is not true, B will work",no check,N/A,Usability,None,hbase.defaults.for.version.skip,hbase-default.xml,hbase.defaults.for.version,hbase-default.xml,Set to true to skip the 'hbase.defaults.for.version' check.
Control dependency,"If A is set to SomeValue, B will work",no check,N/A,Usability,None,hadoop.security.saslproperties.resolver.class,core-default.xml,hadoop.rpc.protection,core-default.xml,hadoop.security.saslproperties.resolver.class can be used to override the hadoop.rpc.protection for a connection at the server side. 
Control dependency,"If A is set to SomeValue, B will work",no check,N/A,Usability,None,hadoop.security.saslproperties.resolver.class,core-default.xml,hadoop.rpc.protection.non-whitelist,core-default.xml,hadoop.security.saslproperties.resolver.class can be used to override the hadoop.rpc.protection for a connection at the server side. 
Control dependency,"If A is not set, B will work",no check,N/A,Usability,None,hadoop.security.group.mapping.ldap.bind.password,core-default.xml,hadoop.security.group.mapping.ldap.bind.password.file,core-default.xml,"If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.bind.password is not set, LDAPGroupsMapping reads password from the file."
Control dependency,"If A is not set, B will work",no check,N/A,Usability,None,dfs.namenode.lifeline.handler.count,hdfs-default.xml,dfs.namenode.lifeline.handler.ratio,hdfs-default.xml,"If this property is defined, then it overrides the behavior of dfs.namenode.lifeline.handler.ratio."
Control Dependency,"If A is set to SomeValue, B will work",no check,N/A,Usability,None,yarn.resourcemanager.store.class,yarn-default.xml,yarn.resourcemanager.zk-state-store.parent-path,yarn-default.xml,This configuration has no effect if in-memory caching has been disabled by setting dfs.datanode.max.locked.memory to 0 (which is the default)
Control Dependency,"If A is set to SomeValue, B will work",no check,N/A,Usability,None,yarn.resourcemanager.store.class,yarn-default.xml,yarn.resourcemanager.fs.state-store.uri,yarn-default.xml,This must be supplied when using org.apache.hadoop.yarn.server.resourcemanager.recovery.ZKRMStateStore as the value for yarn.resourcemanager.store.class
Control Dependency,"If A is SomeValue, B will work",no check,N/A,Usability,None,alluxio.security.authentication.type,Alluxio.xml,alluxio.security.login.username,Alluxio.xml,"alluxio.security.login.username: When alluxio.security.authentication.type is set to SIMPLE or CUSTOM, user application uses this property to indicate the user requesting Alluxio service."
Control Dependency,"If A is SomeValue, B will work",no check,N/A,Usability,None,alluxio.security.authentication.type,Alluxio.xml,alluxio.security.authentication.custom.provider.class,Alluxio.xml,"The class to provide customized authentication implementation, when alluxio.security.authentication.type is set to CUSTOM."
Control Dependency,"If A is SomeValue, B will work",no check,N/A,Usability,None,alluxio.security.authentication.type,Alluxio.xml,alluxio.security.login.impersonation.username,Alluxio.xml,"When alluxio.security.authentication.type is set to SIMPLE or CUSTOM, user application uses this property to indicate the IMPERSONATED user requesting Alluxio service."
Control Dependency,"If A is SomeValue, B will work",no check,N/A,Usability,None,electionType,ZooKeeper.xml,cnxTimeout,ZooKeeper.xml,Only applicable if you are using electionAlg 3
Control Dependency,"If A is true, B will work.",no check,N/A,Usability,None,dfs.balancer.keytab.enabled,hdfs-default.xml,dfs.balancer.keytab.file,hdfs-default.xml,Keytab based login can be enabled with dfs.balancer.keytab.enabled.
Control Dependency,"If A is true, B will work.",no check,N/A,Usability,None,rpc.metrics.quantile.enable,core-default.xml,rpc.metrics.percentiles.intervals,core-default.xml,rpc.metrics.quantile.enable: Setting this property to true and rpc.metrics.percentiles.intervals to a comma-separated list of the granularity in seconds
Control Dependency,"If A is true, B will work.",no check,N/A,Usability,None,fs.azure.secure.mode,core-default.xml,fs.azure.local.sas.key.mode,core-default.xml,"Works in conjuction with fs.azure.secure.mode. Setting this config to true results in fs.azure.NativeAzureFileSystem using the local SAS key generation where the SAS keys are generating in the same process as fs.azure.NativeAzureFileSystem. If fs.azure.secure.mode flag is set to false, this flag has no effect. "
Control Dependency,"If A is true, B will work.",no check,N/A,Usability,None,fs.azure.authorization,core-default.xml,fs.azure.enable.spnego.token.cache,core-default.xml,"Works in conjuction with fs.azure.secure.mode. Setting this config to true results in fs.azure.NativeAzureFileSystem using the local SAS key generation where the SAS keys are generating in the same process as fs.azure.NativeAzureFileSystem. If fs.azure.secure.mode flag is set to false, this flag has no effect. "
Control Dependency,"If A is true, B will work. IR code????",no check,N/A,Usability,None,hadoop.security.groups.cache.background.reload,core-default.xml,hadoop.security.groups.cache.background.reload.threads,core-default.xml,Only relevant if hadoop.security.groups.cache.background.reload is true.
Control Dependency,"If A is true, B will work.",no check,N/A,Usability,None,fs.s3a.fast.upload,core-default.xml,fs.s3a.fast.upload.buffer,core-default.xml,The buffering mechanism to use when using S3A fast upload (fs.s3a.fast.upload=true). This configuration option has no effect if fs.s3a.fast.upload is false.
Control Dependency,"If A is true, B will work.",no check,N/A,Usability,None,ipc.client.ping,core-default.xml,ipc.ping.interval,core-default.xml,"Timeout on waiting response from server, in milliseconds. The client will send ping when the interval is passed without receiving bytes, if ipc.client.ping is set to true. "
Control Dependency,"If A is true, B will work.",no check,N/A,Usability,None,dfs.datanode.sync.behind.writes,hdfs-default.xml,dfs.datanode.sync.behind.writes.in.background,hdfs-default.xml,"If set to true, then sync_file_range() system call will occur asynchronously. This property is only valid when the property dfs.datanode.sync.behind.writes is true. "
Control Dependency,"If A is true, B will work.",no check,N/A,Usability,None,dfs.balancer.keytab.enabled,hdfs-default.xml,dfs.balancer.address,hdfs-default.xml,The hostname used for a keytab based Kerberos login. Keytab based login can be enabled with dfs.balancer.keytab.enabled.
